player_id,F_name,L_Name,position,height,weight,birth_year,college,draft_round,draft_position,draft_year,current_salary
8521,Robert,Griffin,QB,,220,1990,Baylor,1,2,2012,
8522,Ryan,Griffin,TE,,216,1990,Connecticut,6,201,2013,"875,000"
8571,Dan,Gronkowski,TE,,255,1985,Maryland,7,255,2009,
8573,Rob,Gronkowski,TE,,265,1989,Arizona,2,42,2010,"4,250,000"
8590,Rex,Grossman,QB,,222,1980,Florida,1,22,2003,
8657,Todd,Gurley,RB,,226,1994,Georgia,1,10,2015,"1,691,653"
8698,D.J.,Hackett,WR,,199,1981,Northern State Univ.,5,157,2004,
8703,Drew,Haddad,WR,,187,1978,Buffalo,7,233,2000,
8720,Derek,Hagan,WR,,205,1984,Arizona St.,3,82,2006,
8721,Marques,Hagans,WR,,202,1982,Virginia,5,144,2006,
8785,Andy,Hall,QB,,218,1980,Georgia Tech,6,185,2004,
8797,Dante,Hall,WR,,187,1978,Texas A&M;,5,153,2000,
8833,Roy,Hall,WR,6-2,229,1983,Ohio St.,5,169,2007,
8867,Gibran,Hamdan,QB,,240,1981,Indiana,7,232,2003,
8875,Cobi,Hamilton,WR,,212,1990,Arkansas,6,197,2013,"190,590"
8878,Derrick,Hamilton,WR,,200,1981,Clemson,3,77,2004,
8882,Joe,Hamilton,QB,5-10,190,1977,Georgia Tech,7,234,2000,
8883,Justin,Hamilton,RB,,217,1982,Virginia Tech,7,222,2006,
8943,Leonard,Hankerson,WR,,205,1988,Miami (FL),3,79,2011,
8953,James,Hanna,TE,,252,1989,Oklahoma,6,186,2012,"2,250,000"
8960,Ryan,Hannam,TE,,248,1980,Northern Iowa,5,169,2002,
8974,Chad,Hansen,WR,,202,1995,California,4,141,2017,"465,000"
9002,Clay,Harbor,TE,,252,1987,SW Missouri St.,4,125,2010,
9017,Montario,Hardesty,RB,,205,1987,Tennessee,2,59,2010,
9037,James,Hardy,WR,,220,1985,Indiana,2,41,2008,
9041,Justin,Hardy,WR,,190,1991,East Carolina,4,107,2015,"615,000"
9081,Chandler,Harnish,QB,,219,1988,Northern Illinois,7,253,2012,
9088,Chris,Harper,WR,,229,1989,Kansas St.,4,123,2013,
9095,Jamie,Harper,RB,5-11,235,1989,Clemson,4,130,2011,
9097,Justin,Harper,WR,,205,1985,Virginia Tech,7,215,2008,
9118,Joey,Harrington,QB,,220,1978,Oregon,1,3,2002,
9145,Clark,Harris,TE,,257,1984,Rutgers,7,243,2007,"950,000"
9161,Dwayne,Harris,WR,,200,1987,East Carolina,6,176,2011,"2,475,000"
9259,Jerome,Harrison,RB,,195,1983,Washington St.,5,145,2006,
9293,Mike,Hart,RB,,195,1986,Michigan,6,202,2008,
9306,Brian,Hartline,WR,,180,1986,Ohio St.,4,108,2009,
9315,Ben,Hartsock,TE,,264,1980,Ohio St.,3,68,2004,
9339,Percy,Harvin,WR,,200,1988,Florida,1,22,2009,
9348,Mike,Hass,WR,6-1,210,1983,Oregon St.,6,171,2006,
9382,Stanley,Havili,RB,,230,1987,USC,7,240,2011,
9402,Lavelle,Hawkins,WR,,187,1986,California,4,126,2008,
9456,Windrell,Hayes,WR,,198,1976,San Jose St.,5,143,2000,
9457,Herb,Haygood,WR,,193,1977,Michigan St.,5,144,2002,
9475,Verron,Haynes,RB,,223,1979,Georgia,5,166,2002,
9485,Matt,Hazel,WR,,198,1992,Coastal Carolina,6,190,2014,"476,475"
9499,Todd,Heap,TE,,252,1980,Arizona St.,1,31,2001,
9559,Keith,Heinrich,TE,,255,1979,Sam Houston St.,6,174,2002,
9577,Roy,Helu,RB,,216,1988,Nebraska,4,105,2011,
9580,Junior,Hemingway,WR,,225,1988,Michigan,7,238,2012,
9581,Temarrick,Hemingway,TE,,244,1993,South Carolina St.,6,177,2016,"363,000"
9588,De'Angelo,Henderson,RB,,208,1992,Coastal Carolina,6,203,2017,"465,000"
9589,Devery,Henderson,WR,,200,1982,LSU,2,50,2004,
9627,Alex,Henery,K,6-1,178,1987,Nebraska,4,120,2011,
9636,Chad,Henne,QB,6-3,228,1985,Michigan,2,57,2008,"2,250,000"
9651,Chris,Henry,WR,,197,1983,West Virginia,3,83,2005,
9652,Chris,Henry,RB,,230,1985,Arizona,2,50,2007,
9653,Derrick,Henry,RB,,247,1994,Alabama,2,45,2016,"695,815"
9655,Hunter,Henry,TE,,250,1994,Arkansas,2,35,2016,"740,014"
9657,Leonard,Henry,RB,,210,1978,East Carolina,7,241,2002,
9665,Travis,Henry,RB,,215,1978,Tennessee,2,58,2001,
9672,Drew,Henson,QB,,233,1980,Michigan,6,192,2003,
9693,Aaron,Hernandez,TE,6-2,250,1989,Florida,4,113,2010,
9719,Dan,Herron,RB,,212,1989,Ohio St.,6,191,2012,
9722,Noah,Herron,RB,,224,1982,Northwestern,7,244,2005,
9724,Robert,Herron,WR,,193,1992,Wyoming,6,185,2014,
9733,Jacob,Hester,RB,,230,1985,LSU,3,69,2008,
9741,Jeff,Heuerman,TE,,255,1992,Ohio St.,3,92,2015,"615,000"
9751,Darrius,Heyward-Bey,WR,,205,1987,Maryland,1,7,2009,"1,200,000"
9792,Tyler,Higbee,TE,,233,1993,West. Kentucky,4,110,2016,"540,000"
9798,Johnnie,Lee,WR,,185,1983,Texas-El Paso,3,99,2007,
9801,Rashard,Higgins,WR,,188,1994,Colorado St.,5,172,2016,"508,224"
9812,Tim,Hightower,RB,,226,1986,Richmond,5,149,2008,
9820,Anthony,Hill,TE,,264,1985,North Carolina St.,4,122,2009,
9824,Brian,Hill,RB,,219,1995,Wyoming,5,156,2017,"465,000"
9833,Darrell,Hill,WR,,200,1979,Northern Illinois,7,225,2002,
9853,Jason,Hill,WR,,204,1985,Washington St.,3,76,2007,
9856,Jeremy,Hill,RB,,233,1992,LSU,2,55,2014,"881,855"
9864,Kahlil,Hill,WR,6-2,200,1979,Iowa,6,184,2002,
9888,Stephen,Hill,WR,,215,1991,Georgia Tech,2,43,2012,
9894,Tyreek,Hill,WR,,185,1994,West Alabama,5,165,2016,"540,000"
9908,Lex,Hilliard,RB,,233,1984,Montana,6,204,2008,
9910,Peyton,Hillis,RB,,240,1986,Arkansas,7,227,2008,
9912,Ronnie,Hillman,RB,,200,1991,San Diego St.,3,67,2012,
9921,T.Y.,Hilton,WR,,183,1989,Florida International,3,92,2012,"8,000,000"
9958,Domenik,Hixon,WR,,192,1984,Akron,4,130,2006,
9982,Zach,Hocker,K,,189,1991,Arkansas,7,228,2014,
10018,Kevin,Hogan,QB,,217,1992,Stanford,5,162,2016,"540,000"
10063,Jonathan,Holland,WR,,191,1985,Louisiana Tech,7,254,2007,
10078,Trindon,Holliday,WR,,162,1986,LSU,6,197,2010,
10082,Tony,Hollings,RB,,216,1981,Georgia Tech,2,1,2003,
10086,Mack,Hollins,WR,,221,1993,North Carolina,4,118,2017,"465,000"
10096,Jabari,Holloway,TE,,260,1978,Notre Dame,4,119,2001,
10139,Santonio,Holmes,WR,,185,1984,Ohio St.,1,25,2006,
10167,Elijah,Hood,RB,6-0,232,1996,North Carolina,7,242,2017,"273,529"
10179,Michael,Hoomanawanui,TE,,271,1988,Illinois,5,132,2010,"1,350,000"
10180,Austin,Hooper,TE,,248,1994,Stanford,3,81,2016,"540,000"
10191,DeAndre,Hopkins,WR,6-1,214,1992,Clemson,1,27,2013,"8,000,000"
10192,Dustin,Hopkins,K,,206,1990,Florida St.,6,177,2013,"690,000"
10255,T.J.,Houshmandzadeh,WR,,197,1977,Oregon St.,7,204,2001,
10256,Rob,Housler,TE,,238,1988,Florida Atlantic,3,69,2011,
10260,Cedric,Houston,RB,,225,1982,Tennessee,6,182,2005,
10295,Jordan,Howard,RB,,225,1994,Indiana,5,150,2016,"540,000"
10298,O.J.,Howard,TE,,251,1994,Alabama,1,19,2017,"465,000"
10334,Keenan,Howry,WR,5-10,172,1981,Oregon,7,221,2003,
10355,Paul,Hubbard,WR,,214,1985,Wisconsin,6,191,2008,
10387,Josh,Huff,WR,,206,1991,Oregon,3,86,2014,
10472,Brett,Hundley,QB,,227,1993,UCLA,5,147,2015,"615,000"
10496,Kareem,Hunt,RB,,216,1995,Toledo,3,86,2017,"465,000"
10503,Tony,Hunt,RB,,233,1985,Penn St.,3,90,2007,
10520,Javin,Hunter,WR,,190,1980,Notre Dame,6,206,2002,
10523,Justin,Hunter,WR,,196,1991,Tennessee,2,34,2013,
10524,Kendall,Hunter,RB,5-7,199,1988,Oklahoma St.,4,115,2011,
10557,Todd,Husak,QB,,216,1978,Stanford,6,202,2000,
10586,Carlos,Hyde,RB,6-0,230,1990,Ohio St.,2,57,2014,"822,047"
10604,Juaquin,Iglesias,WR,6-0,204,1987,Oklahoma,3,99,2009,
10635,Mark,Ingram,RB,,215,1989,Alabama,1,28,2011,"3,100,000"
10738,Brandon,Jackson,RB,,210,1985,Nebraska,2,63,2007,
10743,Chad,Jackson,WR,6-1,205,1985,Florida,2,36,2006,
10753,Darius,Jackson,RB,,221,1993,East. Michigan,6,216,2016,"540,000"
10754,Darrell,Jackson,WR,,201,1978,Florida,3,80,2000,
10756,DeSean,Jackson,WR,,178,1986,California,2,49,2008,"6,500,000"
10758,Dexter,Jackson,WR,5-10,180,1986,Appalachian St.,2,58,2008,
10778,James,Jackson,RB,,215,1976,Miami (FL),3,65,2001,
10779,Jarious,Jackson,QB,,228,1977,Notre Dame,7,214,2000,
10839,Steven,Jackson,RB,6-3,229,1983,Oregon St.,1,24,2004,
10843,Tarvaris,Jackson,QB,,226,1983,Arkansas,2,64,2006,
10853,Vincent,Jackson,WR,,241,1983,Northern Colorado,2,61,2005,
10861,Brandon,Jacobs,RB,,256,1982,Southern Illinois,4,110,2005,
10872,Taylor,Jacobs,WR,,198,1981,Florida,2,44,2003,
10895,Cedric,James,WR,,199,1979,TCU,4,131,2001,
10909,Jesse,James,TE,6-7,254,1994,Penn St.,5,160,2015,"615,000"
10912,LaMichael,James,RB,,190,1989,Oregon,2,61,2012,
10915,Mike,James,RB,5-10,223,1991,Miami (FL),6,189,2013,"775,000"
10942,Sebastian,Janikowski,K,,250,1978,Florida St.,1,17,2000,"3,000,000"
10943,Jeff,Janis,WR,,219,1991,Saginaw Valley St.,7,236,2014,"690,000"
10961,Dwayne,Jarrett,WR,,219,1986,USC,2,45,2007,
10998,D.C.,Jefferson,TE,,,1989,Rutgers,7,219,2013,
11012,Alshon,Jeffery,WR,,230,1990,South Carolina,2,45,2012,
11030,A.J.,Jenkins,WR,,192,1989,Illinois,1,30,2012,
11064,Michael,Jenkins,WR,,217,1982,Ohio St.,1,29,2004,
11072,Adam,Jennings,WR,,181,1982,Fresno St.,6,184,2006,
11078,Greg,Jennings,WR,,195,1983,West. Michigan,2,52,2006,
11088,Rashad,Jennings,RB,,234,1985,Liberty,7,250,2009,
11103,Jerrel,Jernigan,WR,,181,1989,Troy,3,83,2011,
11157,Andre,Johnson,WR,,219,1981,Miami (FL),1,3,2003,
11169,Bethel,Johnson,WR,,200,1979,Texas A&M;,2,45,2003,
11186,Bryant,Johnson,WR,6-2,214,1981,Penn St.,1,17,2003,
11189,Calvin,Johnson,WR,,239,1985,Georgia Tech,1,2,2007,
11195,Chad,Johnson,WR,6-1,192,1978,Langston,2,36,2001,
11200,Charles,Johnson,WR,6-2,215,1989,Grand Valley St.,7,216,2013,"1,100,000"
11208,Chris,Johnson,RB,,195,1985,East Carolina,1,24,2008,"847,059"
11229,David,Johnson,TE,,270,1987,Arkansas St.,7,241,2009,
11230,David,Johnson,RB,,224,1991,Northern Iowa,3,86,2015,"615,000"
11246,Duke,Johnson,RB,,206,1993,Miami (FL),3,77,2015,"642,500"
11257,Eric,Johnson,TE,,256,1979,Yale,7,224,2001,
11264,Gartrell,Johnson,RB,5-10,222,1986,Colorado St.,4,134,2009,
11294,Jaymar,Johnson,WR,,176,1984,Jackson St.,6,193,2008,
11315,Josh,Johnson,QB,,198,1986,San Diego,5,160,2008,"423,529"
11333,Kyle,Johnson,RB,,242,1978,Syracuse,5,145,2002,
11337,Larry,Johnson,RB,6-1,228,1979,Penn St.,1,27,2003,
11353,Manuel,Johnson,WR,,183,1986,Oklahoma,7,229,2009,
11388,Quinn,Johnson,RB,,251,1986,LSU,5,145,2009,
11408,Ron,Johnson,WR,,225,1980,Minnesota,4,123,2002,
11410,Ronald,Johnson,WR,,199,1988,USC,6,182,2011,
11411,Rudi,Johnson,RB,,220,1979,Auburn,4,100,2001,
11423,Steve,Johnson,WR,,210,1986,Kentucky,7,224,2008,
11425,Storm,Johnson,RB,,209,1992,Central Florida,7,222,2014,
11430,Teyo,Johnson,TE,6-5,260,1981,Stanford,2,63,2003,
11475,Doug,Jolley,TE,,250,1979,BYU,2,55,2002,
11487,Aaron,Jones,RB,,208,1994,Texas-El Paso,5,182,2017,"465,000"
11512,Brandon,Jones,WR,,208,1982,Oklahoma,3,96,2005,
11524,Cardale,Jones,QB,,250,1992,Ohio St.,4,139,2016,
11548,Daryl,Jones,WR,,190,1979,Miami (FL),7,226,2002,
